Edition,Round,Date,Home Club,Away Club,Home Score,AwayScore
2023,Final,4/11/2023,Fluminense FC,Boca Juniors,2,1
2023,Semifinal,6/10/2023,Palmeiras,Boca Juniors,1,1
2023,Semifinal,5/10/2023,Internacional,Fluminense FC,1,2
2023,Semifinal,29/09/2023,Boca Juniors,Palmeiras,0,0
2023,Semifinal,28/09/2023,Fluminense FC,Internacional,2,2
2023,Quarterfinal,1/09/2023,Olimpia,Fluminense FC,1,3
2023,Quarterfinal,31/08/2023,Racing Club,Boca Juniors,0,0
2023,Quarterfinal,31/08/2023,Palmeiras,CS Deportivo Pereira,0,0
2023,Quarterfinal,30/08/2023,Internacional,Bolívar,2,0
2023,Quarterfinal,25/08/2023,Fluminense FC,Olimpia,2,0
2023,Quarterfinal,24/08/2023,Boca Juniors,Racing Club,0,0
2023,Quarterfinal,24/08/2023,CS Deportivo Pereira,Palmeiras,0,4
2023,Quarterfinal,23/08/2023,Bolívar,Internacional,0,1
2023,Round of 16,11/08/2023,Racing Club,Atlético Nacional,3,0
2023,Round of 16,11/08/2023,Olimpia,Flamengo,3,1
2023,Round of 16,10/08/2023,Boca Juniors,Nacional,2,2
2023,Round of 16,10/08/2023,Palmeiras,Atlético Mineiro,0,0
2023,Round of 16,10/08/2023,Independiente,CS Deportivo Pereira,1,1
2023,Round of 16,9/08/2023,Internacional,River Plate,2,1
2023,Round of 16,9/08/2023,Fluminense FC,Argentinos Juniors,2,0
2023,Round of 16,9/08/2023,Atlético PR,Bolívar,2,0
2023,Round of 16,4/08/2023,Atlético Nacional,Racing Club,4,2
2023,Round of 16,4/08/2023,Flamengo,Olimpia,1,0
2023,Round of 16,3/08/2023,Nacional,Boca Juniors,0,0
2023,Round of 16,3/08/2023,Atlético Mineiro,Palmeiras,0,1
2023,Round of 16,3/08/2023,CS Deportivo Pereira,Independiente,1,0
2023,Round of 16,2/08/2023,Argentinos Juniors,Fluminense FC,1,1
2023,Round of 16,2/08/2023,River Plate,Internacional,2,1
2023,Round of 16,2/08/2023,Bolívar,Atlético PR,3,1
2023,Group C,30/06/2023,Barcelona SC,Cerro Porteño,2,2
2023,Group C,30/06/2023,Palmeiras,Bolívar,4,0
